,RMSE mean,RMSE standard deviation,Hyperparameters
115,0.036214148236664225,0.00044787225297796283,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.05, 'max_depth': 4, 'gamma': 0.02, 'subsample': 0.6}"
116,0.036176495592624154,0.0006535278490682762,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.1, 'max_depth': 5, 'gamma': 0.01, 'subsample': 0.5}"
117,0.03607034021650586,0.0005424144585444849,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.05, 'max_depth': 3, 'gamma': 0.02, 'subsample': 0.7}"
118,0.03605787909938758,0.000655044437267861,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.1, 'max_depth': 3, 'gamma': 0.02, 'subsample': 0.6}"
119,0.036044202233734904,0.0005519140949969129,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.1, 'max_depth': 3, 'gamma': 0.02, 'subsample': 0.7}"
120,0.03595879410617921,0.0006048118767011141,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.025, 'max_depth': 5, 'gamma': 0.01, 'subsample': 0.7}"
121,0.035934451976335116,0.0005708902503372403,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.1, 'max_depth': 3, 'gamma': 0.02, 'subsample': 0.5}"
122,0.035916130349156604,0.0004298548778378373,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.05, 'max_depth': 3, 'gamma': 0.02, 'subsample': 0.6}"
123,0.035847960173604435,0.0005345872002272325,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.05, 'max_depth': 3, 'gamma': 0.02, 'subsample': 0.5}"
124,0.03566496903173806,0.00047751716176249126,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.05, 'max_depth': 5, 'gamma': 0.01, 'subsample': 0.7}"
125,0.03563062085825137,0.0005031019101231755,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.025, 'max_depth': 5, 'gamma': 0.01, 'subsample': 0.5}"
126,0.03562629223416996,0.0005589911544848509,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.025, 'max_depth': 5, 'gamma': 0.01, 'subsample': 0.6}"
127,0.035413830247281924,0.0005883471959707689,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.05, 'max_depth': 5, 'gamma': 0.01, 'subsample': 0.6}"
128,0.03538725102005687,0.0005486921229292504,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.1, 'max_depth': 4, 'gamma': 0.01, 'subsample': 0.7}"
129,0.035310592815295055,0.0005992228085762665,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.05, 'max_depth': 5, 'gamma': 0.01, 'subsample': 0.5}"
